index,identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
42501,-3584163645187599824,user,Lituanie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,643,3197,106.57,8.88,lt
42502,8630573133218611472,user,Liechtenstein,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,li
42503,5319171036260696562,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,171,3197,106.57,8.88,de
42504,-6663806146285529313,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42505,-5251303407110741574,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,700,3197,106.57,8.88,fr
42506,-1764983533817368066,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,651,3197,106.57,8.88,fr
42507,-3236188215907010467,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,647,3197,106.57,8.88,fr
42508,-681787376196405603,user,Belgique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,700,3197,106.57,8.88,be
42509,2068274878532769330,user,France,fr,3,8,61,0,0,0.0,9,1,F,2,mrs,True,False,True,True,154,3197,106.57,8.88,fr
42510,-6580767289244046399,user,Portugal,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,432,3197,106.57,8.88,pt
42511,-6212843397085190621,user,Serbie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,270,3197,106.57,8.88,rs
42512,6433432429252572772,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,400,3197,106.57,8.88,fr
42513,4974757342797788688,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,fr
42514,4857625233654371978,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42515,7373966003565738042,user,Autriche,de,7,8,0,0,0,0.0,0,1,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,at
42516,-3089033973187115369,user,Belgique,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,be
42517,-3238733490178829360,user,Etats-Unis,en,3,8,4,0,0,0.0,3,0,F,2,mrs,False,False,False,True,688,3197,106.57,8.88,us
42518,1279977406144271286,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,416,3197,106.57,8.88,gb
42519,3070843354873989853,user,Royaume-Uni,en,3,8,5,0,0,0.0,4,0,M,1,mr,True,False,True,True,237,3197,106.57,8.88,gb
42520,1777290910754983469,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,417,3197,106.57,8.88,fr
42521,8473016859769370276,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3197,106.57,8.88,gb
42522,-171422562933548928,user,Allemagne,de,3,8,0,0,0,0.0,0,1,M,1,mr,False,False,False,True,672,3197,106.57,8.88,de
42523,-8656048641263924868,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,fr
42524,-7158352812369228746,user,France,fr,3,8,4,0,0,0.0,0,1,M,1,mr,False,False,False,True,22,3197,106.57,8.88,fr
42525,-8740259953630391768,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,701,3197,106.57,8.88,us
42526,-4942595264774153998,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,493,3197,106.57,8.88,fr
42527,2180186333507143769,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42528,4209406134295227347,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42529,3941213916204859683,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,it
42530,-8341791299364943003,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,665,3197,106.57,8.88,se
42531,-7187176515766170969,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42532,2936146657907582323,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,gb
42533,-1589891673957295748,user,Royaume-Uni,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,351,3197,106.57,8.88,gb
42534,7944655869604683745,user,Maroc,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,ma
42535,4126073427338562265,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3197,106.57,8.88,fr
42536,3001490041224641819,user,Canada,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,609,3197,106.57,8.88,ca
42537,-6213346795845939398,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,de
42538,-4346389301773478823,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,694,3197,106.57,8.88,de
42539,6839202372390801273,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3197,106.57,8.88,se
42540,2737229463963064567,user,Etats-Unis,en,3,8,33,0,0,0.0,15,0,F,2,mrs,False,False,False,True,583,3197,106.57,8.88,us
42541,-6096636404895147167,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,701,3197,106.57,8.88,us
42542,7738250478970757570,user,Etats-Unis,en,3,8,4,0,0,0.0,0,0,M,1,mr,False,False,False,True,700,3197,106.57,8.88,us
